iter	Passed	Remaining
0	45	9042
1	90	8983
2	139	9152
3	190	9329
4	239	9345
5	289	9375
6	335	9261
7	382	9171
8	429	9121
9	475	9037
10	518	8917
11	562	8814
12	608	8749
13	649	8626
14	692	8537
15	737	8480
16	782	8419
17	832	8412
18	880	8386
19	924	8321
20	968	8251
21	1013	8200
22	1056	8127
23	1099	8061
24	1141	7993
25	1186	7938
26	1227	7867
27	1276	7840
28	1317	7771
29	1361	7717
30	1405	7661
31	1448	7603
32	1487	7529
33	1535	7499
34	1579	7448
35	1621	7384
36	1664	7332
37	1704	7266
38	1747	7215
39	1800	7200
40	1851	7179
41	1896	7135
42	1941	7086
43	1982	7028
44	2027	6982
45	2071	6936
46	2118	6895
47	2162	6847
48	2206	6798
49	2248	6744
50	2291	6695
51	2343	6669
52	2385	6615
53	2426	6560
54	2473	6521
55	2520	6482
56	2564	6434
57	2607	6384
58	2651	6336
59	2696	6290
60	2741	6246
61	2795	6221
62	2839	6175
63	2891	6143
64	2935	6095
65	2975	6042
66	3020	5995
67	3062	5944
68	3103	5891
69	3156	5862
70	3198	5812
71	3252	5782
72	3294	5731
73	3335	5679
74	3384	5640
75	3425	5589
76	3467	5539
77	3512	5494
78	3559	5451
79	3607	5411
80	3650	5363
81	3693	5315
82	3736	5266
83	3778	5218
84	3826	5177
85	3870	5130
86	3931	5106
87	3992	5081
88	4044	5044
89	4089	4997
90	4130	4947
91	4173	4899
92	4217	4852
93	4259	4803
94	4304	4757
95	4355	4718
96	4396	4668
97	4439	4620
98	4488	4579
99	4530	4530
100	4570	4480
101	4613	4432
102	4657	4386
103	4698	4337
104	4741	4289
105	4784	4243
106	4833	4200
107	4877	4155
108	4919	4107
109	4972	4068
110	5017	4023
111	5063	3978
112	5107	3932
113	5151	3886
114	5195	3840
115	5236	3791
116	5280	3745
117	5324	3700
118	5365	3651
119	5413	3608
120	5454	3561
121	5496	3514
122	5540	3468
123	5582	3421
124	5627	3376
125	5669	3329
126	5711	3282
127	5756	3237
128	5801	3193
129	5848	3149
130	5892	3103
131	5936	3058
132	5976	3010
133	6023	2966
134	6066	2920
135	6112	2876
136	6155	2830
137	6201	2786
138	6243	2740
139	6286	2694
140	6332	2649
141	6377	2605
142	6429	2562
143	6470	2516
144	6516	2471
145	6562	2427
146	6602	2380
147	6644	2334
148	6685	2288
149	6725	2241
150	6767	2196
151	6817	2152
152	6864	2108
153	6907	2063
154	6950	2017
155	6993	1972
156	7035	1926
157	7082	1882
158	7122	1836
159	7164	1791
160	7204	1745
161	7245	1699
162	7293	1655
163	7341	1611
164	7383	1566
165	7424	1520
166	7464	1475
167	7506	1429
168	7550	1384
169	7593	1340
170	7634	1294
171	7676	1249
172	7721	1205
173	7761	1159
174	7805	1115
175	7857	1071
176	7899	1026
177	7941	981
178	7984	936
179	8023	891
180	8064	846
181	8104	801
182	8152	757
183	8194	712
184	8236	667
185	8279	623
186	8320	578
187	8364	533
188	8418	489
189	8470	445
190	8521	401
191	8569	357
192	8615	312
193	8663	267
194	8710	223
195	8752	178
196	8797	133
197	8844	89
198	8888	44
199	8933	0
